Linux 4.15.0-117-generic (sl1-21) 	Friday 05 February 2021 	_x86_64_	(4 CPU)

06:54:36  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:54:41  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:54:46  IST  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:54:51  IST  all   55.70    0.00    0.70    0.00    0.00    0.05    0.00    0.00    0.00   43.55
06:54:56  IST  all   17.34    0.00    0.80    0.00    0.00    0.10    0.00    0.00    0.00   81.76
06:55:01  IST  all   37.51    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   62.34
06:55:06  IST  all   54.26    0.00    0.95    0.00    0.00    0.35    0.00    0.00    0.00   44.44
06:55:11  IST  all   17.33    0.00    0.40    0.05    0.00    0.45    0.00    0.00    0.00   81.77
06:55:16  IST  all   50.95    0.00    0.75    0.00    0.00    0.35    0.00    0.00    0.00   47.95
06:55:21  IST  all   45.31    0.00    0.65    0.05    0.00    0.35    0.00    0.00    0.00   53.64
06:55:26  IST  all   21.66    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   77.34
06:55:31  IST  all   52.51    0.00    0.80    0.00    0.00    0.55    0.00    0.00    0.00   46.14
06:55:36  IST  all   48.27    0.00    0.94    0.05    0.00    0.94    0.00    0.00    0.00   49.80
06:55:41  IST  all   29.36    0.00    0.84    0.05    0.00    0.79    0.00    0.00    0.00   68.95
06:55:46  IST  all   43.16    0.00    0.75    0.00    0.00    0.45    0.00    0.00    0.00   55.64
06:55:51  IST  all   46.10    0.00    0.65    0.00    0.00    0.89    0.00    0.00    0.00   52.36
06:55:56  IST  all   47.26    0.00    0.79    0.00    0.00    1.24    0.00    0.00    0.00   50.72
06:56:01  IST  all   38.15    0.00    0.94    0.00    0.00    1.24    0.00    0.00    0.00   59.67
06:56:06  IST  all   41.57    0.00    0.84    0.05    0.00    1.04    0.00    0.00    0.00   56.50
06:56:11  IST  all   43.12    0.00    0.98    0.00    0.00    1.72    0.00    0.00    0.00   54.18
