Linux 4.15.0-117-generic (sl1-21) 	Friday 05 February 2021 	_x86_64_	(4 CPU)

07:41:28  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:41:33  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:41:38  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:41:43  IST  all   45.02    0.00    1.85    0.00    0.00    0.05    0.00    0.00    0.00   53.08
07:41:48  IST  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:41:53  IST  all   38.47    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   61.33
07:41:58  IST  all   85.36    0.00    2.40    0.00    0.00    0.30    0.00    0.00    0.00   11.94
07:42:03  IST  all   99.60    0.00    0.35    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:42:08  IST  all   49.68    0.00    0.80    0.00    0.00    0.45    0.00    0.00    0.00   49.08
07:42:13  IST  all   97.65    0.00    2.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:42:18  IST  all   99.40    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:42:23  IST  all   52.41    0.00    1.74    0.05    0.00    0.50    0.00    0.00    0.00   45.30
07:42:28  IST  all   99.05    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:42:33  IST  all   80.86    0.00    0.45    0.00    0.00    0.55    0.00    0.00    0.00   18.15
07:42:38  IST  all   75.55    0.00    2.64    0.00    0.00    0.35    0.00    0.00    0.00   21.46
07:42:43  IST  all   99.45    0.00    0.50    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:42:48  IST  all   64.02    0.00    0.60    0.05    0.00    0.84    0.00    0.00    0.00   34.49
07:42:53  IST  all   97.80    0.00    2.10    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:42:58  IST  all   98.60    0.00    1.35    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:43:03  IST  all   73.71    0.00    1.54    0.00    0.00    0.60    0.00    0.00    0.00   24.16
07:43:08  IST  all   98.20    0.00    1.70    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:43:13  IST  all   95.90    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00    3.40
07:43:18  IST  all   80.99    0.00    1.68    0.00    0.00    1.09    0.00    0.00    0.00   16.24
07:43:23  IST  all   99.10    0.00    0.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:43:28  IST  all   80.46    0.00    0.94    0.05    0.00    0.55    0.00    0.00    0.00   18.00
07:43:33  IST  all   95.06    0.00    2.50    0.00    0.00    0.15    0.00    0.00    0.00    2.30
07:43:38  IST  all   99.20    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00    0.00
07:43:43  IST  all   73.21    0.00    1.20    0.00    0.00    0.50    0.00    0.00    0.00   25.10
07:43:48  IST  all   98.10    0.00    1.85    0.00    0.00    0.05    0.00    0.00    0.00    0.00
