Linux 4.15.0-117-generic (sl1-21) 	Saturday 06 February 2021 	_x86_64_	(4 CPU)

01:18:49  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:18:54  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
01:18:59  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
01:19:04  IST  all   96.65    0.00    2.60    0.00    0.00    0.05    0.00    0.00    0.00    0.70
01:19:09  IST  all   99.95    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:19:14  IST  all   44.07    0.00    0.55    0.05    0.00    0.00    0.00    0.00    0.00   55.33
01:19:19  IST  all   89.04    0.00    4.08    0.00    0.00    0.40    0.00    0.00    0.00    6.47
01:19:24  IST  all   99.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:19:29  IST  all   92.86    0.00    0.55    0.00    0.00    0.25    0.00    0.00    0.00    6.34
01:19:34  IST  all   67.74    0.00    3.02    0.05    0.00    0.89    0.00    0.00    0.00   28.30
01:19:39  IST  all   99.05    0.00    0.90    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:19:44  IST  all   99.65    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:19:49  IST  all   44.90    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   53.85
01:19:54  IST  all   97.65    0.00    2.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
01:19:59  IST  all   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:04  IST  all   57.50    0.00    1.14    0.05    0.00    0.79    0.00    0.00    0.00   40.52
01:20:09  IST  all   94.11    0.00    3.09    0.00    0.00    0.30    0.00    0.00    0.00    2.49
01:20:14  IST  all   99.55    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:19  IST  all   80.51    0.00    0.45    0.00    0.00    0.15    0.00    0.00    0.00   18.89
01:20:24  IST  all   76.17    0.00    3.09    0.00    0.00    0.55    0.00    0.00    0.00   20.19
01:20:29  IST  all   99.65    0.00    0.30    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:20:34  IST  all   99.35    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:39  IST  all   62.31    0.00    2.29    0.00    0.00    0.65    0.00    0.00    0.00   34.76
01:20:44  IST  all   98.70    0.00    1.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:49  IST  all   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:54  IST  all   72.49    0.00    1.19    0.00    0.00    0.79    0.00    0.00    0.00   25.52
01:20:59  IST  all   97.30    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:21:04  IST  all   98.80    0.00    1.15    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:21:09  IST  all   76.83    0.00    0.55    0.00    0.00    0.65    0.00    0.00    0.00   21.98
01:21:14  IST  all   92.97    0.00    3.04    0.00    0.00    0.30    0.00    0.00    0.00    3.69
01:21:19  IST  all   99.40    0.00    0.55    0.00    0.00    0.05    0.00    0.00    0.00    0.00
01:21:24  IST  all   84.57    0.00    0.45    0.00    0.00    0.25    0.00    0.00    0.00   14.73
