Linux 4.15.0-117-generic (sl1-21) 	Friday 05 February 2021 	_x86_64_	(4 CPU)

06:45:06  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:45:11  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
06:45:16  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
06:45:21  IST  all   27.34    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   72.31
06:45:26  IST  all    8.95    0.00    0.50    0.00    0.00    0.05    0.00    0.00    0.00   90.50
06:45:31  IST  all   19.42    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   80.53
06:45:36  IST  all   27.00    0.00    0.50    0.00    0.00    0.20    0.00    0.00    0.00   72.30
06:45:41  IST  all   24.22    0.00    0.45    0.05    0.00    0.60    0.00    0.00    0.00   74.69
06:45:46  IST  all    5.39    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   94.21
06:45:51  IST  all   24.22    0.00    0.40    0.00    0.00    0.65    0.00    0.00    0.00   74.74
06:45:56  IST  all   26.92    0.00    0.40    0.00    0.00    0.60    0.00    0.00    0.00   72.09
06:46:01  IST  all   13.63    0.00    0.65    0.05    0.00    0.75    0.00    0.00    0.00   84.93
06:46:06  IST  all   21.47    0.00    0.30    0.00    0.00    0.50    0.00    0.00    0.00   77.73
06:46:11  IST  all   23.61    0.00    0.40    0.00    0.00    0.55    0.00    0.00    0.00   75.45
06:46:16  IST  all   21.24    0.00    0.45    0.10    0.00    0.55    0.00    0.00    0.00   77.66
06:46:21  IST  all   20.43    0.00    0.45    0.00    0.00    0.50    0.00    0.00    0.00   78.62
06:46:26  IST  all   17.94    0.00    0.40    0.00    0.00    0.40    0.00    0.00    0.00   81.27
06:46:31  IST  all   23.98    0.00    0.55    0.00    0.00    0.40    0.00    0.00    0.00   75.07
06:46:36  IST  all   23.84    0.00    0.70    0.05    0.00    0.65    0.00    0.00    0.00   74.76
06:46:41  IST  all   22.02    0.00    0.70    0.05    0.00    0.55    0.00    0.00    0.00   76.68
06:46:46  IST  all   16.33    0.00    0.50    0.00    0.00    0.55    0.00    0.00    0.00   82.63
06:46:51  IST  all   22.08    0.00    0.60    0.05    0.00    0.65    0.00    0.00    0.00   76.63
06:46:56  IST  all   22.05    0.00    0.59    0.05    0.00    1.04    0.00    0.00    0.00   76.26
06:47:01  IST  all   24.44    0.00    0.64    0.05    0.00    1.09    0.00    0.00    0.00   73.77
06:47:06  IST  all   22.33    0.00    0.50    0.00    0.00    1.04    0.00    0.00    0.00   76.13
06:47:11  IST  all   17.07    0.00    1.19    0.00    0.00    0.54    0.00    0.00    0.00   81.20
06:47:16  IST  all   20.54    0.00    0.84    0.05    0.00    0.94    0.00    0.00    0.00   77.62
06:47:21  IST  all   22.89    0.00    0.50    0.05    0.00    0.99    0.00    0.00    0.00   75.57
06:47:26  IST  all   24.85    0.00    0.84    0.00    0.00    0.99    0.00    0.00    0.00   73.32
06:47:31  IST  all   21.37    0.00    0.55    0.05    0.00    0.89    0.00    0.00    0.00   77.14
06:47:36  IST  all   18.79    0.00    0.70    0.05    0.00    0.75    0.00    0.00    0.00   79.72
06:47:41  IST  all   20.04    0.00    0.74    0.05    0.00    0.94    0.00    0.00    0.00   78.23
06:47:46  IST  all   23.05    0.00    0.75    0.00    0.00    0.79    0.00    0.00    0.00   75.41
06:47:51  IST  all   23.35    0.00    0.70    0.05    0.00    0.79    0.00    0.00    0.00   75.11
06:47:56  IST  all   22.19    0.00    0.69    0.10    0.00    1.09    0.00    0.00    0.00   75.93
06:48:01  IST  all   22.48    0.00    0.74    0.05    0.00    0.94    0.00    0.00    0.00   75.78
06:48:06  IST  all   18.36    0.00    0.50    0.05    0.00    0.89    0.00    0.00    0.00   80.20
06:48:11  IST  all   21.66    0.00    0.45    0.00    0.00    0.65    0.00    0.00    0.00   77.24
06:48:16  IST  all   24.15    0.00    0.74    0.05    0.00    1.14    0.00    0.00    0.00   73.92
06:48:21  IST  all   24.14    0.00    0.59    0.00    0.00    1.04    0.00    0.00    0.00   74.22
06:48:26  IST  all   21.82    0.00    0.55    0.05    0.00    0.80    0.00    0.00    0.00   76.79
06:48:31  IST  all   16.30    0.00    0.40    0.00    0.00    0.70    0.00    0.00    0.00   82.60
06:48:36  IST  all   22.02    0.00    0.60    0.00    0.00    0.60    0.00    0.00    0.00   76.78
06:48:41  IST  all   22.87    0.00    0.75    0.05    0.00    0.50    0.00    0.00    0.00   75.83
06:48:46  IST  all   24.23    0.00    0.45    0.00    0.00    1.09    0.00    0.00    0.00   74.23
06:48:51  IST  all   23.21    0.00    0.60    0.05    0.00    0.65    0.00    0.00    0.00   75.50
06:48:56  IST  all   16.20    0.00    0.50    0.05    0.00    0.35    0.00    0.00    0.00   82.90
06:49:01  IST  all   23.08    0.00    0.75    0.10    0.00    0.40    0.00    0.00    0.00   75.67
06:49:06  IST  all   22.78    0.00    0.65    0.05    0.00    0.45    0.00    0.00    0.00   76.07
06:49:11  IST  all   25.54    0.00    0.70    0.05    0.00    0.65    0.00    0.00    0.00   73.07
06:49:16  IST  all   21.49    0.00    0.75    0.05    0.00    0.30    0.00    0.00    0.00   77.42
06:49:21  IST  all   17.70    0.00    0.60    0.00    0.00    0.45    0.00    0.00    0.00   81.26
06:49:26  IST  all   21.56    0.00    0.65    0.05    0.00    0.79    0.00    0.00    0.00   76.95
06:49:31  IST  all   22.42    0.00    0.70    0.05    0.00    0.45    0.00    0.00    0.00   76.38
06:49:36  IST  all   24.40    0.00    0.50    0.00    0.00    0.99    0.00    0.00    0.00   74.11
06:49:41  IST  all   21.56    0.00    0.35    0.05    0.00    0.45    0.00    0.00    0.00   77.59
06:49:46  IST  all   19.06    0.00    0.80    0.05    0.00    0.60    0.00    0.00    0.00   79.49
06:49:51  IST  all   20.67    0.00    0.55    0.05    0.00    0.60    0.00    0.00    0.00   78.14
06:49:56  IST  all   22.55    0.00    0.94    0.05    0.00    0.45    0.00    0.00    0.00   76.01
06:50:01  IST  all   23.75    0.00    1.05    0.05    0.00    0.40    0.00    0.00    0.00   74.75
06:50:06  IST  all   22.38    0.00    0.65    0.05    0.00    0.60    0.00    0.00    0.00   76.33
06:50:11  IST  all   22.75    0.00    0.75    0.00    0.00    0.60    0.00    0.00    0.00   75.91
06:50:16  IST  all    3.35    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   96.50
06:50:21  IST  all    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.95

Average:     all   20.10    0.00    0.56    0.03    0.00    0.60    0.00    0.00    0.00   78.71
