Linux 4.15.0-117-generic (sl1-21) 	Friday 05 February 2021 	_x86_64_	(4 CPU)

06:33:58  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:33:59  IST  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:00  IST  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.50
06:34:01  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:02  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:03  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:04  IST  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:05  IST  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
06:34:06  IST  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:07  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:34:08  IST  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:34:09  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     all    0.07    0.00    0.07    0.02    0.00    0.00    0.00    0.00    0.00   99.84
Linux 4.15.0-117-generic (sl1-21) 	Friday 05 February 2021 	_x86_64_	(4 CPU)

06:34:32  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:34:37  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
06:34:42  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:34:47  IST  all    0.30    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.65
06:34:52  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:34:57  IST  all    0.85    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:35:02  IST  all    0.90    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   98.80
06:35:07  IST  all    1.05    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   98.85
06:35:12  IST  all    0.40    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.55
06:35:17  IST  all    0.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.35
06:35:22  IST  all    0.95    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   98.90
06:35:27  IST  all    1.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   98.90
06:35:32  IST  all    0.95    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:35:37  IST  all    0.90    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.36
06:35:42  IST  all    0.05    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   99.16
06:35:47  IST  all    0.90    0.00    0.05    0.00    0.00    0.05    0.00    0.00    0.00   99.00
06:35:52  IST  all    0.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.10
06:35:57  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:36:02  IST  all    0.95    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   98.95
06:36:07  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
06:36:12  IST  all    1.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   98.95
06:36:17  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:36:22  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:36:27  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:36:32  IST  all    0.10    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.85
06:36:37  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:36:42  IST  all    0.90    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.00
06:36:47  IST  all    0.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:36:52  IST  all    0.85    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:36:57  IST  all    0.05    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.90
06:37:02  IST  all    0.95    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.90
06:37:07  IST  all    0.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:37:12  IST  all    1.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   98.90
06:37:17  IST  all    0.90    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:37:22  IST  all    0.75    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.15
06:37:27  IST  all    0.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.65
06:37:32  IST  all    0.95    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:37:37  IST  all    0.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.10
06:37:42  IST  all    0.90    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:37:47  IST  all    0.90    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   98.95
06:37:52  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
06:37:57  IST  all    0.85    0.00    0.05    0.00    0.00    0.05    0.00    0.00    0.00   99.05
06:38:02  IST  all    0.95    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:38:07  IST  all    0.90    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.00
06:38:12  IST  all    0.95    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.90
06:38:17  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
06:38:22  IST  all    0.90    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.05
06:38:27  IST  all    0.80    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.10
06:38:32  IST  all    0.95    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:38:37  IST  all    0.85    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.05
06:38:42  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
06:38:47  IST  all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:38:52  IST  all    0.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.10
06:38:57  IST  all    0.85    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.00
06:39:02  IST  all    1.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   98.85
06:39:07  IST  all    0.10    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.80
06:39:12  IST  all    1.40    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:39:17  IST  all    0.90    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.00
06:39:22  IST  all    0.90    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   98.90
06:39:27  IST  all    1.05    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.46
06:39:32  IST  all    0.94    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   98.16
06:39:37  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
06:39:42  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     all    0.74    0.00    0.11    0.01    0.00    0.00    0.00    0.00    0.00   99.14
